,team_name,conference,W,L,ppg,ppg_a,ppg_diff,pass_tds,rush_tds,off_tds,pass_ypg,rush_ypg,win_pct,ypg,team_level,state
0,LSU,SEC,10,3,45.5,28.0,17.5,44,34,78,338.9,204.5,0.77,543.5,College,
1,Oregon,Pac-12,12,2,44.2,16.5,27.7,49,33,82,346.9,184.5,0.86,531.4,College,
2,Oklahoma,Big 12,10,3,41.7,23.5,18.2,34,32,66,324.8,182.2,0.77,507.0,College,
3,Liberty,CUSA,13,1,38.3,23.9,14.4,32,39,71,205.9,293.3,0.93,499.1,College,
4,Georgia,SEC,13,1,40.1,15.6,24.5,29,40,69,305.3,191.2,0.93,496.5,College,
5,North Texas,AAC,5,7,34.5,37.1,-2.6,33,19,52,304.7,191.2,0.42,495.8,College,
6,North Carolina,ACC,8,5,34.5,27.3,7.2,26,28,54,299.2,192.1,0.62,491.2,College,
7,UCF,Big 12,6,7,31.3,25.8,5.5,24,28,52,258.8,228.2,0.46,487.0,College,
8,Texas,Big 12,12,2,35.8,18.9,16.9,25,29,54,289.1,188.4,0.86,477.5,College,
9,Southern California,Pac-12,8,5,41.8,34.4,7.4,37,33,70,333.0,134.6,0.62,467.6,College,
10,TCU,Big 12,5,7,31.3,27.8,3.5,27,19,46,312.2,154.5,0.42,466.7,College,
11,Washington,Pac-12,14,1,36.0,24.8,11.2,38,28,66,343.7,118.4,0.93,462.1,College,
12,Ole Miss,SEC,11,2,35.1,22.1,13.0,26,29,55,285.6,176.3,0.85,461.9,College,
13,Memphis,AAC,10,3,39.4,28.8,10.6,33,31,64,306.5,152.0,0.77,458.5,College,
14,Texas St.,Sun Belt,8,5,36.7,32.8,3.9,24,33,57,270.9,186.7,0.62,457.6,College,
15,SMU,AAC,11,3,38.7,17.8,20.9,33,29,62,278.4,175.9,0.79,454.3,College,
16,South Fla.,AAC,7,6,31.9,32.2,-0.3,27,23,50,268.8,182.8,0.54,451.6,College,
17,UAB,AAC,4,8,29.9,36.9,-7.0,22,24,46,288.9,161.1,0.33,450.0,College,
18,Tennessee,SEC,9,4,31.8,20.3,11.5,22,23,45,243.2,204.8,0.69,448.1,College,
19,Arizona,Pac-12,10,3,34.6,21.1,13.5,36,17,53,308.3,139.7,0.77,448.0,College,
20,Kansas,Big 12,9,4,34.8,26.5,8.3,24,32,56,240.1,206.0,0.69,446.1,College,
21,App State,Sun Belt,9,5,33.2,26.6,6.6,34,23,57,273.6,172.0,0.64,445.6,College,
22,Kansas St.,Big 12,9,4,37.1,21.0,16.1,30,32,62,241.2,204.1,0.69,445.2,College,
23,South Alabama,Sun Belt,7,6,33.1,21.0,12.1,28,28,56,268.2,172.0,0.54,440.2,College,
24,Utah St.,Mountain West,6,7,33.2,34.7,-1.5,35,18,53,254.2,184.4,0.46,438.6,College,
25,Boise St.,Mountain West,8,6,32.1,25.1,7.0,20,34,54,221.3,214.9,0.57,436.1,College,
26,West Virginia,Big 12,9,4,31.5,26.2,5.3,18,32,50,205.7,228.9,0.69,434.6,College,
27,Missouri,SEC,11,2,32.5,20.8,11.7,23,25,48,262.3,172.0,0.85,434.3,College,
28,Notre Dame,FBS Independent,10,3,39.2,15.9,23.3,31,28,59,246.5,185.7,0.77,432.2,College,
29,Oklahoma St.,Big 12,10,4,29.6,28.6,1.0,18,29,47,276.5,155.3,0.71,431.8,College,
30,Miami,ACC,7,6,31.5,22.8,8.7,23,24,47,258.0,173.2,0.54,431.2,College,
31,UCLA,Pac-12,8,5,26.5,18.4,8.1,24,21,45,229.2,197.9,0.62,427.1,College,
32,Cincinnati,Big 12,3,9,24.1,30.0,-5.9,21,14,35,209.0,217.1,0.25,426.1,College,
33,Georgia Tech,ACC,7,6,31.1,29.5,1.6,27,24,51,220.8,203.8,0.54,424.6,College,
34,Washington St.,Pac-12,5,7,31.7,28.1,3.6,27,17,44,336.8,84.8,0.42,421.7,College,
35,UTSA,AAC,9,4,31.9,24.1,7.8,25,27,52,249.8,171.8,0.69,421.6,College,
36,Ga. Southern,Sun Belt,6,7,30.2,30.5,-0.3,26,16,42,302.2,117.2,0.46,419.5,College,
37,Troy,Sun Belt,11,3,29.6,17.1,12.5,29,19,48,266.0,153.4,0.79,419.4,College,
38,Toledo,MAC,11,3,32.3,20.3,12.0,26,31,57,220.6,198.6,0.79,419.2,College,
39,Coastal Carolina,Sun Belt,8,5,27.7,23.8,3.9,24,17,41,261.6,154.6,0.62,416.2,College,
40,Louisville,ACC,10,4,30.7,21.3,9.4,22,31,53,236.6,178.5,0.71,415.1,College,
41,UNLV,Mountain West,9,5,34.4,28.6,5.8,17,39,56,239.2,173.5,0.64,412.7,College,
42,New Mexico St.,CUSA,10,5,27.5,22.8,4.7,28,22,50,213.7,198.7,0.67,412.4,College,
43,New Mexico,Mountain West,4,8,27.2,35.1,-7.9,17,26,43,217.9,192.7,0.33,410.6,College,
44,Oregon St.,Pac-12,8,5,31.8,22.9,8.9,26,26,52,242.2,167.1,0.62,409.2,College,
45,Florida,SEC,5,7,28.4,27.6,0.8,20,21,41,259.2,149.8,0.42,409.1,College,
46,Ohio St.,Big Ten,11,2,30.5,11.2,19.3,26,20,46,269.1,138.8,0.85,407.9,College,
47,Texas A&M,SEC,7,6,33.3,22.1,11.2,24,23,47,270.8,136.2,0.54,406.9,College,
48,San Jose St.,Mountain West,7,6,31.8,25.6,6.2,21,31,52,219.5,184.1,0.54,403.5,College,
49,Clemson,ACC,9,4,29.8,21.1,8.7,20,24,44,228.4,174.3,0.69,402.7,College,
50,Western Ky.,CUSA,8,5,30.5,28.7,1.8,38,12,50,296.4,105.4,0.62,401.8,College,
51,Florida St.,ACC,13,1,34.6,19.3,15.3,25,32,57,251.4,150.2,0.93,401.6,College,
52,Penn St.,Big Ten,10,3,36.2,13.5,22.7,30,26,56,215.0,184.8,0.77,399.8,College,
53,Colorado St.,Mountain West,5,7,26.1,29.6,-3.5,24,10,34,306.5,92.2,0.42,398.7,College,
54,Georgia St.,Sun Belt,7,6,27.2,30.1,-2.9,20,25,45,205.2,188.1,0.54,393.3,College,
55,Alabama,SEC,12,2,34.0,19.0,15.0,23,32,55,220.4,172.6,0.86,393.1,College,
