team_name,W,L,ppg,ppg_a,ppg_diff,pass_yds,pass_tds,rush_yds,rush_tds,off_tds
Southeast Polk,13,0,39.5,17.5,22.0,2653,29,2175,38,67
Dowling Catholic,9,2,32.4,11.7,20.6,1402,11,1988,31,42
Ankeny,9,4,25.6,24.0,1.6,2314,20,2222,24,44
Waukee Northwest,7,3,34.9,17.6,17.3,1491,16,1794,27,43
Ankeny Centennial,7,5,33.8,14.2,19.7,1887,21,2114,31,52
Valley,6,6,26.3,19.9,6.3,1670,15,2172,25,40
Waukee,8,3,28.6,12.2,16.5,1438,14,2003,25,39
Johnston,5,5,24.0,17.5,6.5,1754,17,971,12,29
Pleasant Valley,8,2,35.2,26.5,8.7,540,7,3174,38,45
Cedar Falls,7,4,28.8,22.7,6.1,1206,15,2250,25,40
Bettendorf,8,3,34.1,17.0,17.1,1261,12,2238,36,48
Cedar Rapids Kennedy,6,4,34.9,17.6,17.3,2379,25,1758,21,46
Prairie,5,5,26.2,24.8,1.4,1766,12,1508,19,31
Iowa City High,6,4,33.4,25.2,8.2,2540,22,1822,23,45
Sioux City East,5,5,25.3,30.4,-5.1,2345,19,1105,16,35
Urbandale,4,5,15.8,23.4,-7.7,631,1,1185,14,15
Iowa City Liberty,4,5,37.6,25.3,12.2,2683,29,1297,17,46
Linn-Mar,4,6,22.0,23.0,-1.0,971,9,1933,20,29
Iowa City West,4,5,32.0,26.8,5.2,1831,14,1372,21,35
Ames,3,6,25.9,34.8,-8.9,1528,10,1712,23,33
Davenport West,5,4,19.2,21.9,-2.7,1188,8,1389,15,23
Des Moines Roosevelt,4,5,21.3,32.6,-11.2,1393,14,1181,13,27
Dubuque Hempstead,5,4,20.7,26.1,-5.4,1328,11,1518,14,25
Muscatine,4,5,23.6,28.4,-4.9,238,0,2377,28,28
Dubuque Senior,2,7,12.8,35.2,-22.4,1221,9,999,7,16
Waterloo West,4,5,20.1,28.2,-8.1,965,9,1367,16,25
Ottumwa,4,5,22.7,36.1,-13.4,685,7,2537,21,28
Cedar Rapids Jefferson,4,5,21.4,24.3,-2.9,1108,7,1416,18,25
Cedar Rapids Washington,1,8,11.0,37.8,-26.8,1071,10,509,2,12
Davenport North,2,7,18.6,27.3,-8.8,1423,6,1596,17,23
Sioux City North,2,7,22.6,26.7,-4.1,826,3,1384,16,19
Marshalltown,2,7,14.4,32.7,-18.2,1120,10,933,5,15
Davenport Central,2,7,12.3,33.9,-21.6,1149,6,665,6,12
Des Moines Lincoln,3,6,19.9,31.6,-11.7,651,5,2149,22,27
Council Bluffs Lincoln,2,7,18.6,35.1,-16.6,1173,9,1294,13,22
Des Moines East,0,9,10.7,47.4,-36.8,1608,13,28,1,14
