team_name,W,L,ppg,ppg_a,ppg_diff,pass_ypg,rush_ypg,off_tds,rush_tds,pass_tds
Buffalo Bills,11,6,26.5,18.3,8.2,244.4,130.1,51,22,29
Miami Dolphins,11,6,29.2,23.0,6.2,265.5,135.8,57,27,30
New York Jets,7,10,15.8,20.9,-5.1,171.7,96.9,18,7,11
New England Patriots,4,13,13.9,21.5,-7.6,180.5,95.7,25,9,16
Baltimore Ravens,13,4,28.4,16.5,11.9,213.8,156.5,53,26,27
Cleveland Browns,11,6,23.3,21.3,2.0,217.2,118.6,39,15,24
Pittsburgh Steelers,10,7,17.9,19.1,-1.2,186.1,118.2,29,16,13
Cincinnati Bengals,9,8,21.5,22.6,-1.1,229.1,89.8,39,12,27
Houston Texans,10,7,22.2,20.8,1.4,245.5,96.9,37,10,27
Jacksonville Jaguars,9,8,22.2,21.8,0.4,242.7,96.8,39,17,22
Indianapolis Colts,9,8,23.3,24.4,-1.1,215.6,121.1,37,19,18
Tennessee Titans,6,11,17.9,21.6,-3.7,180.4,108.6,30,16,14
Kansas City Chiefs,11,6,21.8,17.3,4.5,246.4,104.9,37,9,28
Las Vegas Raiders,8,9,19.5,19.5,0.0,198.8,90.7,31,11,20
Denver Broncos,8,9,21.0,24.3,-3.3,191.9,106.5,36,8,28
Los Angeles Chargers,5,12,20.4,23.4,-3.0,232.8,96.6,35,11,24
Dallas Cowboys,12,5,29.9,18.5,11.4,258.6,112.9,50,14,36
Philadelphia Eagles,11,6,25.5,25.2,0.3,225.5,128.8,46,22,24
New York Giants,6,11,15.6,23.9,-8.3,169.8,110.2,25,10,15
Washington Commanders,4,13,19.4,30.5,-11.1,219.1,93.6,38,14,24
Detroit Lions,12,5,27.1,23.2,3.9,258.9,135.9,57,27,30
Green Bay Packers,9,8,22.5,20.6,1.9,233.4,112.1,42,10,32
Minnesota Vikings,7,10,20.2,21.3,-1.1,256.4,91.4,37,7,30
Chicago Bears,7,10,21.2,22.3,-1.1,182.1,141.1,35,16,19
Tampa Bay Buccaneers,9,8,20.5,19.1,1.4,224.2,88.8,36,8,28
New Orleans Saints,9,8,23.6,19.2,4.4,234.7,102.5,41,13,28
Atlanta Falcons,7,10,18.9,21.9,-3.0,207.3,127.0,31,14,17
Carolina Panthers,2,15,13.9,24.5,-10.6,161.2,104.1,20,7,13
San Francisco 49ers,12,5,28.9,17.5,11.4,257.9,140.5,60,27,33
Los Angeles Rams,10,7,23.8,22.2,1.6,239.0,120.3,44,18,26
Seattle Seahawks,9,8,21.4,23.6,-2.2,230.0,92.9,34,11,23
Arizona Cardinals,4,13,19.4,26.8,-7.4,184.9,139.1,35,17,18
